Customer_Id,Age,Monthly_Income,Credit_Score,Credit_Score_Band,Loan_Amount,Interest_Rate,Loan_Term,Loan_Type,Debt_Income,Repayment_Status,Transaction_Id,Gender,Transaction_Amount,Transaction_Type,Transaction_Date,Transaction_Year,Transaction_Month,Product_Id,Product_Name,Interaction_Date,Interaction_Year,Interaction_Day_Name,Interaction_Type,Transaction_Frequency
C059,32,191870.85,768,Excellent,278070.36,3.0,36,Personal,1.4492579774363847,1,3de8d1d9-6d10-4a93-a67f-c2c05be69539,Male,1686.17,Withdrawal,2024-04-13,2024,4,P09,Investment Fund,2024-06-04,2024,Tuesday,Clicked,9
C035,50,37968.74,492,Poor,819137.71,14.33,60,Personal,21.57400298245346,1,5f58f1eb-380f-40eb-9a63-0a020b9f3cd2,Female,470.53,Withdrawal,2025-01-06,2025,1,P05,Home Loan,2024-02-01,2024,Thursday,Viewed,1
C068,40,67324.57,359,Poor,597532.14,13.03,24,Personal,8.875394822425156,1,45d4a24f-f6ff-410d-895a-08b858f23a08,Male,1927.33,Deposit,2024-07-05,2024,7,P050,Savings Account,2024-02-23,2024,Friday,Clicked,10
C033,22,61577.5,591,Fair,847246.56,12.29,36,Education,13.759028216475174,0,c3065d21-b887-4ecc-b800-f2a119f1a0c2,Female,508.34,Withdrawal,2024-04-12,2024,4,P047,Healthcare Savings,2024-03-07,2024,Thursday,Viewed,4
C029,69,129865.61,326,Poor,469326.91,4.57,60,Mortgage,3.613942983057639,0,2c1daaa2-bb06-4780-b84d-d5119f5b7678,Female,726.7,Withdrawal,2024-06-10,2024,6,P015,Home Equity Line,2024-10-08,2024,Tuesday,Clicked,6
C05,59,116498.59,648,Fair,464872.88,3.88,24,Auto,3.990373445721532,1,5d6c9140-35ec-4acd-890a-a1e6862ce280,Male,1473.67,Deposit,2024-10-16,2024,10,P048,Property Investment,2025-01-08,2025,Wednesday,Viewed,4
C037,22,151712.45,774,Excellent,950213.33,7.02,48,Mortgage,6.263252158936197,1,0c7f617c-5f97-46d9-a017-7cf5f3e1292d,Male,1186.38,Deposit,2024-12-14,2024,12,P029,Small Business Loan,2024-01-18,2024,Thursday,Purchased,6
C062,68,162058.26,483,Poor,126670.76,13.64,12,Auto,0.7816371717183683,0,985ad607-95d7-4de2-89a5-abb7a1cd639f,Male,1437.46,Deposit,2024-08-17,2024,8,P06,Auto Loan,2024-07-20,2024,Saturday,Purchased,5
C055,48,141204.43,821,Excellent,106499.74,7.81,48,Personal,0.7542237874548271,0,bbb600cc-8271-47cb-9896-5fd81d9ff5f6,Female,415.07,Withdrawal,2024-01-22,2024,1,P017,Business Credit Line,2024-02-23,2024,Friday,Viewed,10
C062,55,76749.44,790,Excellent,526996.9,3.53,60,Personal,6.866459221070539,0,340a2628-ca0e-48eb-afc9-715486057dc1,Female,27.95,Withdrawal,2024-08-12,2024,8,P026,Emergency Loan,2024-02-17,2024,Saturday,Clicked,5
C040,41,43996.35,546,Poor,970577.36,7.17,36,Auto,22.060406374619713,0,6712c2c7-0a7d-483e-b9be-9d059239ab5c,Female,1242.13,Deposit,2024-03-26,2024,3,P06,Auto Loan,2024-01-28,2024,Sunday,Clicked,4
C093,54,42532.97,515,Poor,192177.09,7.91,24,Education,4.518308737903795,1,578ad3e1-3c11-4e4d-b3f1-aa26fe0b07f3,Male,1178.39,Deposit,2024-05-08,2024,5,P029,Small Business Loan,2024-07-20,2024,Saturday,Viewed,2
C035,49,135523.51,525,Poor,633413.14,6.06,60,Personal,4.6738247850871035,0,695afcf3-3080-41c4-921f-58bcd4ecbe88,Female,1539.52,Withdrawal,2024-12-19,2024,12,P033,Wealth Management,2024-09-01,2024,Sunday,Purchased,1
C050,30,40890.23,307,Poor,902867.88,7.88,24,Personal,22.08028372547672,0,1eb98181-0cce-4d5e-97db-04ca11dcf33f,Female,1127.86,Withdrawal,2024-12-13,2024,12,P013,Bond,2024-01-17,2024,Wednesday,Viewed,6
C039,22,97655.05,311,Poor,429572.92,1.28,12,Business,4.398880754246708,0,2c202ff8-f982-417b-833e-a6c73081c9cf,Male,1161.95,Withdrawal,2024-09-06,2024,9,P048,Property Investment,2024-07-31,2024,Wednesday,Purchased,6
C025,58,45390.16,545,Poor,904205.02,7.98,36,Personal,19.920727752446783,0,080e8d40-b3b1-4ba2-8c93-e499033ccaaf,Female,1255.1,Withdrawal,2024-01-19,2024,1,P01,Savings Account,2024-01-12,2024,Friday,Purchased,8
C083,24,44025.67,785,Excellent,165795.94,4.54,60,Business,3.7658924895407613,0,9896e39c-6560-483a-a5d2-75f5e8c93c67,Female,788.86,Withdrawal,2024-05-15,2024,5,P038,Recurring Deposit,2024-09-28,2024,Saturday,Purchased,2
C06,18,101161.45,797,Excellent,840035.62,1.29,12,Business,8.303910432284235,0,a97b98dc-233e-4bd7-abbd-8bd4898c4d85,Female,1224.08,Deposit,2024-04-15,2024,4,P011,Insurance Policy,2024-07-11,2024,Thursday,Purchased,9
C018,27,173209.79,627,Fair,247935.86,7.7,60,Mortgage,1.4314194365110655,0,f8deabf8-8568-48f6-bdc4-da82cba95646,Female,697.95,Withdrawal,2024-02-14,2024,2,P09,Investment Fund,2024-07-08,2024,Monday,Viewed,6
C014,51,62892.65,708,Good,607772.61,6.28,36,Auto,9.663650839963015,0,443efacb-104c-4d70-a348-3caf0f2911c7,Female,95.55,Deposit,2024-03-03,2024,3,P048,Property Investment,2024-08-31,2024,Saturday,Purchased,4
C081,35,185787.94,509,Poor,278939.74,6.86,12,Personal,1.5013877649970175,0,a0d73da4-53c9-42ad-9a52-eb65eea44d71,Female,219.23,Deposit,2024-01-20,2024,1,P022,Short-Term Loan,2024-06-15,2024,Saturday,Purchased,1
C072,69,88081.44,805,Excellent,912481.36,12.14,12,Mortgage,10.359519099596918,0,e4c80136-da54-4550-ae0d-34e1e8b14050,Male,1264.52,Deposit,2024-02-05,2024,2,P039,Loan Against Property,2024-03-14,2024,Thursday,Purchased,2
C08,70,75570.04,753,Excellent,999777.93,10.5,12,Mortgage,13.22981872181092,0,6df7a0c8-4d5e-486d-a41a-6d841c35bfd6,Female,712.29,Withdrawal,2024-03-24,2024,3,P046,Child Education Fund,2024-02-03,2024,Saturday,Viewed,9
C077,60,146743.72,518,Poor,845912.23,11.55,24,Personal,5.764554898839964,0,f9e51e83-06c3-4841-9ba3-3581d35f69ef,Female,1432.38,Withdrawal,2024-02-05,2024,2,P028,Debt Consolidation Loan,2024-03-21,2024,Thursday,Clicked,2
C037,31,83911.04,627,Fair,659591.64,1.62,36,Business,7.860606184835751,0,be161fcc-f228-4db7-a3ff-ce9c77cdd140,Male,1482.09,Deposit,2024-05-24,2024,5,P039,Loan Against Property,2024-03-18,2024,Monday,Purchased,6
C070,30,50730.72,373,Poor,506408.79,6.6,36,Mortgage,9.982290612078835,0,56ec036c-9924-4eea-b9f4-56d0a95d9a7f,Male,97.89,Withdrawal,2024-04-24,2024,4,P03,Credit Card,2024-04-03,2024,Wednesday,Purchased,7
C09,41,165547.46,482,Poor,703727.62,3.7,24,Mortgage,4.250911611691294,0,ade19a8e-2c7b-4a37-b3e3-ca03ba3a6fb6,Female,1206.18,Withdrawal,2024-08-26,2024,8,P043,Money Market Account,2024-02-05,2024,Monday,Purchased,10
C059,55,87107.32,363,Poor,288765.85,11.51,60,Auto,3.315058367080975,1,7b6c428c-83f4-4aa2-9940-2c06a5fd9fb6,Male,57.74,Withdrawal,2024-09-01,2024,9,P022,Short-Term Loan,2024-09-03,2024,Tuesday,Clicked,9
C049,62,148960.22,309,Poor,528655.76,5.35,48,Education,3.548972739164859,0,05c8f7cf-045e-4e84-ac4e-0aa1d9737e0b,Male,355.93,Withdrawal,2024-09-16,2024,9,P05,Home Loan,2025-01-08,2025,Wednesday,Clicked,5
C05,69,98452.06,480,Poor,820033.42,11.14,24,Business,8.329266243895761,0,15b1735f-2bd8-473c-b4bd-3c837870ac3d,Female,1104.99,Deposit,2024-09-08,2024,9,P047,Healthcare Savings,2024-01-16,2024,Tuesday,Viewed,4
C026,50,141632.96,319,Poor,484111.08,7.39,60,Auto,3.4180679412475743,0,0bc409ca-7f7e-4075-9ef5-84be5433855b,Male,30.05,Deposit,2024-11-06,2024,11,P05,Home Loan,2024-09-27,2024,Friday,Viewed,9
C079,23,164526.5,570,Poor,673550.79,13.19,60,Mortgage,4.093874178323857,0,24b4ee8e-8ff3-4c9a-b785-aee78678cb85,Female,848.98,Withdrawal,2024-01-14,2024,1,P047,Healthcare Savings,2024-05-17,2024,Friday,Clicked,4
C076,46,58980.32,581,Fair,721120.21,9.53,24,Mortgage,12.226454688614778,0,7040cd15-c66f-4f64-977d-73b1b6323bb1,Female,910.78,Deposit,2024-07-16,2024,7,P036,International Investment,2024-01-24,2024,Wednesday,Viewed,7
C079,53,71741.93,339,Poor,716559.73,5.89,36,Education,9.988018582717249,0,6bdea953-c3f9-4b9b-b765-b6e1735d787a,Male,1771.08,Withdrawal,2024-03-08,2024,3,P042,High-Yield Savings Account,2024-06-28,2024,Friday,Purchased,4
C018,66,60187.61,627,Fair,454722.31,9.48,36,Auto,7.555081685416649,1,c150c616-f409-48cb-abc3-4e9f97966ae1,Female,1994.37,Deposit,2024-10-04,2024,10,P031,Technology Loan,2024-09-19,2024,Thursday,Purchased,6
C073,39,72161.45,653,Fair,292644.18,14.46,24,Business,4.055408808997048,0,9d44c4dd-6a1c-4121-8e59-1a54bee0caaf,Female,60.07,Deposit,2024-07-31,2024,7,P036,International Investment,2024-10-11,2024,Friday,Purchased,4
C041,47,121442.21,469,Poor,869332.01,9.58,48,Education,7.158400773503709,1,620d05fe-c981-41b0-9055-069833be38a8,Male,597.29,Withdrawal,2024-11-02,2024,11,P016,Mortgage Refinance,2024-07-30,2024,Tuesday,Purchased,3
C011,42,171539.36,664,Fair,596148.95,13.73,24,Personal,3.4752895778554844,0,53de5ec8-6bd6-4372-8f7f-1de98abd7c63,Male,1167.07,Deposit,2024-09-05,2024,9,P02,Checking Account,2024-01-15,2024,Monday,Viewed,2
C019,38,43854.9,769,Excellent,655532.83,11.57,24,Education,14.947767068218145,0,d1493e63-4b8a-4ab4-9fbb-06af0f8478d0,Female,1546.73,Withdrawal,2024-12-25,2024,12,P041,Retirement Savings,2024-06-07,2024,Friday,Viewed,7
C032,23,24603.86,475,Poor,951862.77,3.25,12,Auto,38.68753805297217,1,620412de-eb39-46a0-80be-a6f7682b9ee8,Male,312.69,Deposit,2024-05-20,2024,5,P040,Gold Investment,2024-02-18,2024,Sunday,Clicked,2
C010,47,67595.98,790,Excellent,267377.07,8.65,60,Personal,3.9555173251427087,0,3e960b1a-7165-4034-8b5a-84d958d203bf,Male,404.44,Withdrawal,2024-11-04,2024,11,P043,Money Market Account,2024-05-23,2024,Thursday,Purchased,10
C076,50,189633.75,553,Poor,472993.0,2.37,36,Mortgage,2.4942448271997995,0,98511f71-0274-407a-b3f1-324980fd2477,Female,1754.57,Withdrawal,2024-12-11,2024,12,P047,Healthcare Savings,2024-02-03,2024,Saturday,Viewed,7
C038,43,108555.94,504,Poor,297589.54,9.55,12,Auto,2.74134736431742,0,2bee3518-632f-4e34-bf21-b6ce304d58ad,Male,201.02,Withdrawal,2024-07-21,2024,7,P049,Auto Insurance,2024-11-13,2024,Wednesday,Purchased,2
C039,23,24228.52,405,Poor,123004.14,7.17,48,Personal,5.076832592333333,1,a867e40e-9358-4c0e-bf54-71a3311ef2d2,Male,755.29,Deposit,2025-01-02,2025,1,P018,Auto Refinance,2024-06-12,2024,Wednesday,Purchased,6
C098,20,118215.01,448,Poor,989135.04,12.29,12,Business,8.367254209089015,0,6605dadc-e938-4d57-86fb-d7352f16c5da,Male,1775.61,Deposit,2024-10-06,2024,10,P016,Mortgage Refinance,2024-03-27,2024,Wednesday,Viewed,2
C014,61,71424.49,517,Poor,893001.02,8.09,24,Mortgage,12.502728685917113,1,094d0f54-f6c7-4cc8-ae0f-72ddd2ecf143,Male,898.56,Deposit,2024-12-17,2024,12,P042,High-Yield Savings Account,2024-02-01,2024,Thursday,Viewed,4
C053,25,138379.85,464,Poor,552436.84,2.2,60,Mortgage,3.9921768956968804,0,b78b1533-5e7d-4b70-b3e2-23f19e7c71fd,Male,1623.27,Withdrawal,2024-05-08,2024,5,P041,Retirement Savings,2024-10-14,2024,Monday,Viewed,2
C067,45,47009.86,523,Poor,936992.83,4.96,12,Business,19.931836214785577,1,5ec7c9a0-a333-4b5c-9516-ff49230df41d,Female,121.18,Deposit,2024-11-29,2024,11,P011,Insurance Policy,2024-08-18,2024,Sunday,Clicked,6
